date,provider,capacity_gpu,available_gpu,utilization_gpu,leases,daily_earnings,protocol_earnings
2025-01-06 16:38:41.726,Akash,566,191,2.9633507853403143,1108,12168082098.83838,1678473089532.9563
2025-01-06 16:38:41.726000,Akash,566,191,2.9633507853403143,1108,12168082098.83838,1678473089532.9563
