date,revenue,usdValue,active_gpu_capacity,available_gpu,active_leases,staked_compute_providers,daily_earnings_usd,protocol_earnings_usd,active_provider_count,gpu_utilization,total_daily_earnings_usd
2024-07-22 00:00:00.000,36.38680087,2.862993647552059,,,,,,,,0.0,2.862993647552059
2024-07-26 00:00:00.000,8.08911667,0.5955948722489111,,,,,,,,0.0,0.5955948722489111
2024-07-27 00:00:00.000,5.5525313,0.4114798659700137,,,,,,,,0.0,0.4114798659700137
2024-07-28 00:00:00.000,5.5525313,0.3991625805005817,,,,,,,,0.0,0.3991625805005817
2024-07-29 00:00:00.000,11.13392665,0.8157094792149456,,,,,,,,0.0,0.8157094792149456
2024-07-30 00:00:00.000,11.13392665,0.7827476278450054,,,,,,,,0.0,0.7827476278450054
2024-07-31 00:00:00.000,11.13392665,0.7367759048527349,,,,,,,,0.0,0.7367759048527349
2024-08-01 00:00:00.000,11.13392665,0.8078821920240776,,,,,,,,0.0,0.8078821920240776
2024-08-02 00:00:00.000,112.88460493,8.184385640549738,,,,,,,,0.0,8.184385640549738
2024-08-03 00:00:00.000,5.58139535,0.3774941309024422,,,,,,,,0.0,0.3774941309024422
2024-08-04 00:00:00.000,5.58139535,0.365079838343059,,,,,,,,0.0,0.365079838343059
2024-08-05 00:00:00.000,10.53030046,0.5629397228712824,,,,,,,,0.0,0.5629397228712824
2024-08-06 00:00:00.000,4514.13350449,282.2062717910329,,,,,,,,0.0,282.2062717910329
2024-08-07 00:00:00.000,4514.13350449,265.8967892029517,,,,,,,,0.0,265.8967892029517
2024-08-08 00:00:00.000,4514.13350449,273.8010235161785,,,,,,,,0.0,273.8010235161785
2024-08-09 00:00:00.000,761964.7582535399,48674.43250801858,,,,,,,,0.0,48674.43250801858
2024-08-10 00:00:00.000,761964.7582535399,46555.00628291677,,,,,,,,0.0,46555.00628291677
2024-08-11 00:00:00.000,761964.7582535399,48004.98482142299,,,,,,,,0.0,48004.98482142299
2024-08-12 00:00:00.000,761971.5752961499,44985.37536539209,,,,,,,,0.0,44985.37536539209
2024-08-13 00:00:00.000,1470191.09366047,113551.1478979225,,,,,,,,0.0,113551.1478979225
2024-08-14 00:00:00.000,1103424.94642098,85223.73032021777,,,,,,,,0.0,85223.73032021777
2024-08-15 00:00:00.000,964975.27504457,74530.48154550292,,,,,,,,0.0,74530.48154550292
2024-08-16 00:00:00.000,661143.04747028,51063.80543910345,,,,,,,,0.0,51063.80543910345
2024-08-17 00:00:00.000,442307.3990444699,34161.89439713952,,,,,,,,0.0,34161.89439713952
2024-08-18 00:00:00.000,442300.58200186,34161.36787850057,,,,,,,,0.0,34161.36787850057
2024-08-19 00:00:00.000,635958.96107839,49118.69644552389,,,,,,,,0.0,49118.69644552389
2024-08-20 00:00:00.000,635958.96107839,49118.69644552389,,,,,,,,0.0,49118.69644552389
2024-08-21 00:00:00.000,193658.37907653,14957.32856702331,,,,,,,,0.0,14957.32856702331
2024-08-22 00:00:00.000,91278.82759483,7049.978534670126,,,,,,,,0.0,7049.978534670126
2024-08-23 00:00:00.000,377.9557834,29.19165627161663,,,,,,,,0.0,29.19165627161663
2024-08-24 00:00:00.000,377.9557834,29.19165627161663,,,,,,,,0.0,29.19165627161663
2024-08-25 00:00:00.000,629194.2508820499,48596.21973395663,,,,,,,,0.0,48596.21973395663
2024-08-26 00:00:00.000,1050067.03522228,81102.59797750814,,,,,,,,0.0,81102.59797750814
2024-08-27 00:00:00.000,1158340.71699863,89465.18492681955,,,,,,,,0.0,89465.18492681955
2024-08-28 00:00:00.000,1157962.76121523,64960.13218172272,,,,,,,,0.0,64960.13218172272
2024-08-29 00:00:00.000,1157962.76121523,63436.24134360068,,,,,,,,0.0,63436.24134360068
2024-08-30 00:00:00.000,379755.11342942,20338.49262197784,,,,,,,,0.0,20338.49262197784
2024-08-31 00:00:00.000,1539544.21403704,80986.18368479265,,,,,,,,0.0,80986.18368479265
2024-09-01 00:00:00.000,1632096.36271521,83127.52766413693,,,,,,,,0.0,83127.52766413693
2024-09-02 00:00:00.000,1397579.77503803,73275.54340166683,,,,,,,,0.0,73275.54340166683
2024-09-03 00:00:00.000,601096.3658649799,31665.97990897877,,,,,,,,0.0,31665.97990897877
2024-09-04 00:00:00.000,488889.70013725,24097.02433388576,,,,,,,,0.0,24097.02433388576
2024-09-05 00:00:00.000,488889.70013725,23394.90036365762,,,,,,,,0.0,23394.90036365762
2024-09-06 00:00:00.000,773332.49474423,35136.49126694637,,,,,,,,0.0,35136.49126694637
2024-09-07 00:00:00.000,437679.2350136201,19157.79877251687,,,,,,,,0.0,19157.79877251687
2024-09-08 00:00:00.000,595758.3332287301,26752.87473171851,,,,,,,,0.0,26752.87473171851
2024-09-09 00:00:00.000,477400.2338928899,21669.21641303807,,,,,,,,0.0,21669.21641303807
2024-09-10 00:00:00.000,1287478.32180434,59552.31359871286,,,,,,,,0.0,59552.31359871286
2024-09-11 00:00:00.000,1114422.47152965,53560.52509030225,,,,,,,,0.0,53560.52509030225
2024-09-12 00:00:00.000,1887915.50270211,94712.80326903595,,,,,,,,0.0,94712.80326903595
2024-09-13 00:00:00.000,1827503.78951586,101343.3105287603,,,,,,,,0.0,101343.3105287603
2024-09-14 00:00:00.000,1543060.99490888,84508.52756701369,,,,,,,,0.0,84508.52756701369
2024-09-15 00:00:00.000,1540823.36344622,88824.62359591125,,,,,,,,0.0,88824.62359591125
2024-09-16 00:00:00.000,1508141.35848161,86947.8536661064,,,,,,,,0.0,86947.8536661064
