date,provider,capacity_gpu,available_gpu,utilization_gpu,leases,daily_earnings,protocol_earnings
2025-01-06,Aethir,433.32,,0.0,,3094088.22130808,223857.1531928042
2025-01-06 00:00:00,Aethir,433.32,,0.0,,3094088.22130808,223857.1531928042
